iter	Passed	Remaining
0	1	161
1	3	150
2	4	156
3	6	160
4	8	164
5	10	164
6	12	168
7	14	163
8	15	161
9	17	161
10	19	157
11	21	155
12	22	152
13	24	148
14	25	144
15	26	140
16	28	138
17	30	136
18	31	134
19	33	133
20	34	131
21	36	129
22	37	126
23	39	126
24	41	124
25	43	122
26	44	121
27	46	119
28	47	117
29	49	114
30	50	112
31	52	110
32	53	109
33	55	107
34	56	105
35	58	104
36	60	102
37	61	100
38	63	98
39	64	96
40	66	95
41	67	93
42	68	91
43	69	88
44	70	86
45	72	85
46	74	84
47	76	82
48	78	81
49	79	79
50	81	77
51	82	76
52	83	74
53	85	72
54	86	71
55	88	69
56	90	67
57	91	66
58	93	64
59	94	63
60	96	61
61	97	59
62	99	58
63	100	56
64	102	55
65	103	53
66	105	51
67	107	50
68	109	49
69	110	47
70	112	45
71	114	44
72	115	42
73	117	41
74	118	39
75	120	38
76	122	36
77	123	34
78	124	33
79	126	31
80	128	30
81	129	28
82	131	26
83	133	25
84	134	23
85	136	22
86	138	20
87	139	19
88	141	17
89	142	15
90	144	14
91	146	12
92	147	11
93	149	9
94	150	7
95	152	6
96	154	4
97	155	3
98	157	1
99	158	0
